instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,count
1906,06-10-2012,Fall,2012,October,7,No Holiday,Saturday,Non-Working Day,Cloudy or Light Rain,50
1907,18-04-2011,Spring,2011,April,3,No Holiday,Monday,Non-Working Day,Light Rain or Mist,18
1908,20-11-2012,Fall,2012,November,18,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,592
1909,28-10-2011,Fall,2011,October,1,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,64
1910,13-02-2011,Winter,2011,February,20,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,141
1911,09-08-2012,Summer,2012,August,3,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,6
1912,01-08-2011,Summer,2011,August,15,No Holiday,Monday,Working Day,Clear or Partly Cloudy,78
1913,18-09-2011,Fall,2011,September,2,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,53
1914,23-06-2012,Summer,2012,June,14,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,473
1915,03-04-2011,Spring,2011,April,22,No Holiday,Sunday,Working Day,Light Rain or Mist,29
1916,10-06-2012,Summer,2012,June,14,Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,181
1917,10-04-2012,Spring,2012,April,23,No Holiday,Tuesday,Working Day,Light Rain or Mist,73
1918,26-09-2011,Fall,2011,September,20,No Holiday,Monday,Working Day,Cloudy or Light Rain,90
1919,14-02-2012,Winter,2012,February,6,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,185
1920,14-11-2011,Fall,2011,November,4,No Holiday,Monday,Working Day,Cloudy or Light Rain,1
1921,15-11-2011,Fall,2011,November,22,No Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,87
1922,03-02-2011,Winter,2011,February,3,No Holiday,Thursday,Working Day,Heavy Snow or Rain,6
1923,12-11-2012,Fall,2012,November,1,No Holiday,Monday,Working Day,Cloudy or Light Rain,15
1924,04-08-2011,Summer,2011,August,14,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,182
1925,19-12-2012,Winter,2012,December,11,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,79
1926,27-04-2011,Spring,2011,April,18,No Holiday,Wednesday,Working Day,Light Rain or Mist,133
1927,17-10-2012,Fall,2012,October,18,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,297
1928,04-01-2011,Winter,2011,January,22,No Holiday,Tuesday,Non-Working Day,Heavy Snow or Rain,34
1929,20-03-2011,Spring,2011,March,10,No Holiday,Sunday,Working Day,Light Rain or Mist,117
1930,26-04-2012,Spring,2012,April,16,No Holiday,Thursday,Working Day,Light Rain or Mist,211
1931,21-07-2012,Summer,2012,July,20,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,252
1932,17-07-2011,Summer,2011,July,15,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,135
1933,19-07-2011,Summer,2011,July,13,No Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,248
1934,15-03-2011,Spring,2011,March,4,No Holiday,Tuesday,Working Day,Light Rain or Mist,4
1935,06-09-2012,Fall,2012,September,6,No Holiday,Thursday,Working Day,Cloudy or Light Rain,117
1936,13-03-2012,Spring,2012,March,15,No Holiday,Tuesday,Working Day,Light Rain or Mist,264
1937,17-12-2012,Winter,2012,December,13,No Holiday,Monday,Working Day,Heavy Snow or Rain,254
1938,28-10-2012,Fall,2012,October,18,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,203
1939,23-09-2012,Fall,2012,September,12,No Holiday,Sunday,Working Day,Cloudy or Light Rain,292
1940,16-04-2012,Spring,2012,April,16,No Holiday,Monday,Non-Working Day,Light Rain or Mist,421
1941,01-06-2011,Summer,2011,June,6,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,71
1942,13-07-2012,Summer,2012,July,1,No Holiday,Friday,Working Day,Clear or Partly Cloudy,46
1943,02-12-2011,Winter,2011,December,19,Holiday,Friday,Non-Working Day,Heavy Snow or Rain,336
1944,02-04-2011,Spring,2011,April,6,No Holiday,Saturday,Working Day,Light Rain or Mist,71
1945,26-10-2012,Fall,2012,October,11,No Holiday,Friday,Working Day,Cloudy or Light Rain,251
1946,27-05-2012,Spring,2012,May,8,No Holiday,Sunday,Working Day,Light Rain or Mist,632
1947,04-04-2011,Spring,2011,April,3,No Holiday,Monday,Working Day,Light Rain or Mist,4
1948,24-12-2012,Winter,2012,December,12,No Holiday,Monday,Working Day,Heavy Snow or Rain,264
1949,24-09-2011,Fall,2011,September,12,No Holiday,Saturday,Non-Working Day,Cloudy or Light Rain,244
1950,25-05-2011,Spring,2011,May,21,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,31
1951,07-06-2011,Summer,2011,June,16,No Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,343
1952,23-06-2012,Summer,2012,June,0,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,90
1953,06-05-2011,Spring,2011,May,17,No Holiday,Friday,Working Day,Light Rain or Mist,291
1954,04-10-2012,Fall,2012,October,17,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,87
1955,05-03-2012,Spring,2012,March,6,No Holiday,Monday,Working Day,Light Rain or Mist,88
1956,21-07-2011,Summer,2011,July,15,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,249
1957,21-12-2012,Winter,2012,December,19,No Holiday,Friday,Working Day,Heavy Snow or Rain,458
1958,09-08-2012,Summer,2012,August,16,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,481
1959,08-01-2011,Winter,2011,January,15,No Holiday,Saturday,Non-Working Day,Heavy Snow or Rain,358
1960,20-01-2012,Winter,2012,January,23,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,74
1961,09-11-2011,Fall,2011,November,21,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,59
1962,05-08-2012,Summer,2012,August,13,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,220
1963,02-02-2011,Winter,2011,February,7,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,25
1964,05-03-2011,Spring,2011,March,21,No Holiday,Saturday,Working Day,Light Rain or Mist,53
1965,03-06-2012,Summer,2012,June,2,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,6
1966,21-06-2012,Summer,2012,June,8,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,585
1967,09-02-2011,Winter,2011,February,12,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,153
1968,16-09-2011,Fall,2011,September,3,No Holiday,Friday,Working Day,Cloudy or Light Rain,4
1969,21-10-2012,Fall,2012,October,4,No Holiday,Sunday,Working Day,Cloudy or Light Rain,1
1970,02-09-2011,Fall,2011,September,5,No Holiday,Friday,Working Day,Cloudy or Light Rain,26
1971,20-06-2011,Summer,2011,June,8,No Holiday,Monday,Working Day,Clear or Partly Cloudy,371
1972,08-09-2011,Fall,2011,September,17,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,269
1973,20-01-2011,Winter,2011,January,16,No Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,431
1974,11-01-2012,Winter,2012,January,23,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,97
1975,25-11-2012,Fall,2012,November,2,No Holiday,Sunday,Working Day,Cloudy or Light Rain,2
1976,23-11-2012,Fall,2012,November,10,No Holiday,Friday,Working Day,Cloudy or Light Rain,233
1977,11-11-2012,Fall,2012,November,0,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,191
1978,19-03-2012,Spring,2012,March,7,No Holiday,Monday,Working Day,Light Rain or Mist,423
1979,12-06-2012,Summer,2012,June,10,No Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,421
1980,03-06-2011,Summer,2011,June,18,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,211
1981,21-08-2012,Summer,2012,August,9,Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,229
1982,20-07-2012,Summer,2012,July,21,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,258
1983,16-04-2012,Spring,2012,April,20,No Holiday,Monday,Working Day,Light Rain or Mist,165
1984,11-08-2012,Summer,2012,August,13,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,659
1985,15-01-2012,Winter,2012,January,20,No Holiday,Sunday,Working Day,Heavy Snow or Rain,312
1986,10-03-2011,Spring,2011,March,11,No Holiday,Thursday,Working Day,Light Rain or Mist,156
1987,16-02-2012,Winter,2012,February,9,No Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,237
1988,02-04-2011,Spring,2011,April,3,No Holiday,Saturday,Non-Working Day,Light Rain or Mist,30
1989,13-08-2011,Summer,2011,August,5,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,5
1990,02-10-2011,Fall,2011,October,1,No Holiday,Sunday,Working Day,Cloudy or Light Rain,14
1991,11-12-2012,Winter,2012,December,16,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,452
1992,08-02-2011,Winter,2011,February,13,No Holiday,Tuesday,Non-Working Day,Heavy Snow or Rain,153
1993,07-07-2012,Summer,2012,July,14,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,242
1994,05-06-2012,Summer,2012,June,7,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,398
1995,04-03-2011,Spring,2011,March,20,No Holiday,Friday,Working Day,Light Rain or Mist,197
1996,08-01-2012,Winter,2012,January,16,No Holiday,Sunday,Working Day,Heavy Snow or Rain,525
1997,26-02-2011,Winter,2011,February,19,No Holiday,Saturday,Non-Working Day,Heavy Snow or Rain,295
1998,12-07-2012,Summer,2012,July,7,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,50
1999,01-11-2011,Fall,2011,November,19,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,302
2000,17-10-2012,Fall,2012,October,17,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,856
2001,08-11-2012,Fall,2012,November,8,No Holiday,Thursday,Working Day,Cloudy or Light Rain,620
2002,22-10-2012,Fall,2012,October,19,No Holiday,Monday,Working Day,Cloudy or Light Rain,348
2003,08-10-2012,Fall,2012,October,22,No Holiday,Monday,Working Day,Cloudy or Light Rain,83
2004,26-02-2011,Winter,2011,February,7,No Holiday,Saturday,Working Day,Heavy Snow or Rain,284
2005,04-04-2012,Spring,2012,April,7,Holiday,Wednesday,Non-Working Day,Light Rain or Mist,16
2006,28-09-2012,Fall,2012,September,5,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,12
2007,05-03-2011,Spring,2011,March,13,No Holiday,Saturday,Working Day,Light Rain or Mist,69
2008,20-09-2011,Fall,2011,September,8,No Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,118
2009,15-09-2011,Fall,2011,September,22,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,152
2010,18-02-2012,Winter,2012,February,23,No Holiday,Saturday,Working Day,Heavy Snow or Rain,71
2011,05-05-2012,Spring,2012,May,16,No Holiday,Saturday,Working Day,Light Rain or Mist,310
2012,22-11-2012,Fall,2012,November,21,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,253
2013,10-06-2011,Summer,2011,June,13,No Holiday,Friday,Working Day,Clear or Partly Cloudy,143
2014,19-07-2012,Summer,2012,July,18,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,500
2015,01-04-2011,Spring,2011,April,17,No Holiday,Friday,Non-Working Day,Light Rain or Mist,256
2016,10-09-2011,Fall,2011,September,12,No Holiday,Saturday,Working Day,Cloudy or Light Rain,154
2017,01-02-2012,Winter,2012,February,17,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,488
2018,28-12-2011,Winter,2011,December,17,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,343
2019,14-01-2012,Winter,2012,January,7,No Holiday,Saturday,Non-Working Day,Heavy Snow or Rain,7
2020,18-03-2011,Spring,2011,March,22,No Holiday,Friday,Working Day,Light Rain or Mist,79
2021,13-02-2012,Winter,2012,February,23,No Holiday,Monday,Non-Working Day,Heavy Snow or Rain,91
2022,13-12-2012,Winter,2012,December,11,No Holiday,Thursday,Working Day,Heavy Snow or Rain,236
2023,27-06-2012,Summer,2012,June,14,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,310
2024,19-12-2012,Winter,2012,December,12,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,248
2025,14-10-2011,Fall,2011,October,7,No Holiday,Friday,Working Day,Cloudy or Light Rain,72
2026,15-08-2011,Summer,2011,August,13,No Holiday,Monday,Working Day,Clear or Partly Cloudy,204
2027,28-04-2012,Spring,2012,April,19,No Holiday,Saturday,Working Day,Light Rain or Mist,513
2028,12-07-2011,Summer,2011,July,5,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,23
2029,07-01-2011,Winter,2011,January,11,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,49
2030,06-07-2011,Summer,2011,July,6,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,120
2031,04-06-2011,Summer,2011,June,0,Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,97
2032,12-03-2012,Spring,2012,March,0,No Holiday,Monday,Working Day,Light Rain or Mist,26
2033,05-12-2012,Winter,2012,December,1,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,64
2034,03-08-2012,Summer,2012,August,23,No Holiday,Friday,Working Day,Clear or Partly Cloudy,74
2035,23-08-2012,Summer,2012,August,5,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,4
2036,16-03-2012,Spring,2012,March,15,No Holiday,Friday,Working Day,Light Rain or Mist,237
2037,01-02-2012,Winter,2012,February,13,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,286
2038,04-03-2012,Spring,2012,March,22,Holiday,Sunday,Non-Working Day,Light Rain or Mist,43
2039,15-01-2011,Winter,2011,January,22,No Holiday,Saturday,Working Day,Heavy Snow or Rain,223
2040,24-05-2012,Spring,2012,May,16,No Holiday,Thursday,Working Day,Light Rain or Mist,370
2041,10-05-2012,Spring,2012,May,21,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,289
2042,01-04-2012,Spring,2012,April,4,No Holiday,Sunday,Working Day,Light Rain or Mist,11
2043,25-01-2011,Winter,2011,January,5,No Holiday,Tuesday,Non-Working Day,Heavy Snow or Rain,6
2044,15-11-2012,Fall,2012,November,10,No Holiday,Thursday,Working Day,Cloudy or Light Rain,139
2045,16-08-2011,Summer,2011,August,22,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,114
2046,25-02-2012,Winter,2012,February,1,No Holiday,Saturday,Working Day,Heavy Snow or Rain,30
2047,11-09-2012,Fall,2012,September,4,No Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,12
2048,14-03-2012,Spring,2012,March,5,No Holiday,Wednesday,Working Day,Light Rain or Mist,40
2049,09-02-2012,Winter,2012,February,23,No Holiday,Thursday,Working Day,Heavy Snow or Rain,171
2050,26-08-2011,Summer,2011,August,19,No Holiday,Friday,Working Day,Clear or Partly Cloudy,331
2051,25-11-2012,Fall,2012,November,22,No Holiday,Sunday,Working Day,Cloudy or Light Rain,111
2052,06-06-2012,Summer,2012,June,6,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,200
2053,08-07-2011,Summer,2011,July,6,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,23
2054,27-12-2011,Winter,2011,December,13,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,61
2055,15-08-2011,Summer,2011,August,17,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,329
2056,16-07-2012,Summer,2012,July,13,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,224
2057,04-12-2011,Winter,2011,December,17,No Holiday,Sunday,Working Day,Heavy Snow or Rain,568
2058,02-10-2012,Fall,2012,October,17,No Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,593
2059,09-05-2011,Spring,2011,May,22,No Holiday,Monday,Working Day,Light Rain or Mist,98
2060,21-01-2011,Winter,2011,January,22,No Holiday,Friday,Working Day,Heavy Snow or Rain,147
2061,19-04-2012,Spring,2012,April,18,No Holiday,Thursday,Working Day,Light Rain or Mist,839
2062,22-11-2012,Fall,2012,November,21,No Holiday,Thursday,Working Day,Cloudy or Light Rain,233
2063,16-02-2011,Winter,2011,February,12,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,149
2064,01-02-2011,Winter,2011,February,14,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,148
2065,15-08-2011,Summer,2011,August,16,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,303
2066,10-12-2012,Winter,2012,December,23,No Holiday,Monday,Working Day,Heavy Snow or Rain,177
2067,20-12-2012,Winter,2012,December,14,No Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,312
2068,20-12-2012,Winter,2012,December,10,No Holiday,Thursday,Working Day,Heavy Snow or Rain,190
2069,06-11-2012,Fall,2012,November,8,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,471
2070,17-05-2012,Spring,2012,May,13,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,138
2071,21-12-2012,Winter,2012,December,15,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,124
2072,18-02-2012,Winter,2012,February,18,No Holiday,Saturday,Working Day,Heavy Snow or Rain,710
2073,04-07-2012,Summer,2012,July,6,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,137
2074,23-04-2011,Spring,2011,April,14,No Holiday,Saturday,Non-Working Day,Light Rain or Mist,315
2075,22-11-2011,Fall,2011,November,19,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,145
2076,23-12-2012,Winter,2012,December,18,No Holiday,Sunday,Working Day,Heavy Snow or Rain,281
2077,17-06-2011,Summer,2011,June,1,No Holiday,Friday,Working Day,Clear or Partly Cloudy,16
2078,23-12-2011,Winter,2011,December,15,No Holiday,Friday,Working Day,Heavy Snow or Rain,81
2079,04-06-2011,Summer,2011,June,18,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,144
2080,04-01-2012,Winter,2012,January,18,Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,126
2081,22-06-2011,Summer,2011,June,3,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,2
2082,27-01-2011,Winter,2011,January,23,No Holiday,Thursday,Working Day,Heavy Snow or Rain,61
2083,05-09-2012,Fall,2012,September,21,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,299
2084,14-04-2012,Spring,2012,April,23,No Holiday,Saturday,Working Day,Light Rain or Mist,93
2085,22-07-2012,Summer,2012,July,19,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,433
2086,20-08-2012,Summer,2012,August,4,No Holiday,Monday,Working Day,Clear or Partly Cloudy,5
2087,09-04-2011,Spring,2011,April,5,No Holiday,Saturday,Working Day,Light Rain or Mist,7
2088,04-12-2012,Winter,2012,December,3,No Holiday,Tuesday,Non-Working Day,Heavy Snow or Rain,11
2089,02-05-2012,Spring,2012,May,12,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,678
2090,01-05-2011,Spring,2011,May,17,No Holiday,Sunday,Working Day,Light Rain or Mist,590
2091,26-04-2011,Spring,2011,April,2,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,17
2092,14-02-2012,Winter,2012,February,16,No Holiday,Tuesday,Non-Working Day,Heavy Snow or Rain,450
2093,04-05-2012,Spring,2012,May,0,No Holiday,Friday,Working Day,Light Rain or Mist,15
2094,14-05-2011,Spring,2011,May,22,No Holiday,Saturday,Working Day,Light Rain or Mist,174
2095,04-02-2012,Winter,2012,February,19,No Holiday,Saturday,Working Day,Heavy Snow or Rain,512
2096,14-04-2012,Spring,2012,April,3,No Holiday,Saturday,Working Day,Light Rain or Mist,4
2097,03-10-2011,Fall,2011,October,0,No Holiday,Monday,Working Day,Cloudy or Light Rain,6
2098,21-10-2011,Fall,2011,October,11,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,304
2099,06-07-2011,Summer,2011,July,5,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,4
2100,12-06-2012,Summer,2012,June,15,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,78
2101,18-04-2012,Spring,2012,April,5,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,22
2102,20-03-2012,Spring,2012,March,3,No Holiday,Tuesday,Working Day,Light Rain or Mist,7
2103,15-10-2011,Fall,2011,October,15,No Holiday,Saturday,Working Day,Cloudy or Light Rain,76
2104,19-12-2012,Winter,2012,December,2,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,75
2105,09-11-2011,Fall,2011,November,11,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,153
2106,14-04-2011,Spring,2011,April,22,No Holiday,Thursday,Working Day,Light Rain or Mist,115
2107,24-02-2012,Winter,2012,February,1,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,123
2108,12-06-2012,Summer,2012,June,9,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,262
2109,22-08-2012,Summer,2012,August,17,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,528
2110,11-10-2011,Fall,2011,October,20,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,169
